"title","full_address","email","affiliations","type","established","phone"
"Ranipokhari Basic School","Kuwapani, Miklajung-2, Morang","N/A","N/A","Public","N/A","N/A"
"Mills Berry Academy & Technical School","Dhangadhi, Kailali","N/A","N/A","Private","N/A","N/A"
"Sarada Basic School","Bhimad-5, Tanahun","N/A","N/A","Public","N/A","N/A"
"Betang Basic School","Betang, Naukunda-6, Rasuwa","N/A","N/A","Public","N/A","N/A"
"Kalaiya National Public English Boarding School","Kalaiya, Bara","N/A","N/A","Private","N/A","N/A"
"Talti English Boarding School","Jogidanda, Benighat Rorang-2, Dhading","N/A","N/A","Private","N/A","N/A"
"Shiva Saraswati Basic School","Saingaun Seri, Surma-5, Bajhang","N/A","N/A","Public","N/A","N/A"
"Sada Shiva Basic School","Bhansa-6, Baglung","N/A","N/A","Public","N/A","N/A"
"Madarsa Asarfia Talemul Quran","Pathamari, Kachankawal-4, Jhapa","N/A","N/A","Religious","N/A","N/A"
"Seti Devi Basic School","Indrawati-3, Sindhupalchok","N/A","N/A","Public","N/A","N/A"
"Bageshwori Basic School","Tarkeshwar-6, Nuwakot","N/A","N/A","Public","N/A","N/A"
"Chhabi Basic School Kandanahagaun","Kanda Nahagau, Simta-2, Surkhet","N/A","N/A","Public","N/A","N/A"
"Bal Jyoti Basic School","Koilikharka, Galchhi-5, Dhading","N/A","N/A","Public","N/A","N/A"
"Shree Bhimshen Basic School","Bahuntilpung, Tinpatan-8, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Mero Kids Montessori School","Madhyapur Thimi, Bhaktapur","N/A","N/A","Private","N/A","+977 984-1654142"
"Heaven Vision English Boarding School","Durgaphat, Panini-3, Arghakhanchi","N/A","N/A","Private","N/A","N/A"
"Saraswoti Basic School","Arjunchaupari-3, Syangja","N/A","N/A","Public","N/A","N/A"
"Adarsha Basic School","Aulgela, Mahawai-5, Kalikot","N/A","N/A","Public","N/A","N/A"
"Bhagawati Basic School","Sim, Godawari-12, Kailali","N/A","N/A","Public","N/A","N/A"
"Shiva Bhairab Aa Bi","Jogibada, Tila-3, Jumla","N/A","N/A","Public","N/A","N/A"
"Bal Kalyan Basic School Nayabasti","Nayabasti, Ghorahi-11, Dang","N/A","N/A","Public","N/A","N/A"
"Bageshwor Basic School","Bagasti, Jorayal-4, Doti","N/A","N/A","Public","N/A","N/A"
"Yasodhara Basic School","Papunga, Shadananda-1, Bhojpur","N/A","N/A","Public","N/A","N/A"
"Saraswati Basic School, Thamabasi","Mahabu-3, Dailekh","N/A","N/A","Public","N/A","N/A"
"Prime Rose Academy","Damak, Jhapa","N/A","N/A","Private","N/A","N/A"
"Sangam Basic School","Dandagairagaun, Thantikandh-4, Dailekh","N/A","N/A","Public","N/A","N/A"
"Biswanath Sanskrit Basic School","Devijung, Pathari Shanishchare-2, Morang","N/A","N/A","Religious","N/A","N/A"
"Kalika Basic School","Ghataligaun, Dipayal Silgadi-3, Doti","N/A","N/A","Public","N/A","N/A"
"Ram Krishna Basic School","Gairagaun, Dudhpokhari-1, Lamjung","N/A","N/A","Public","N/A","N/A"
"Jana Bikash Basic School","Bihadi-1, Parbat","N/A","N/A","Public","N/A","N/A"
"Baraju Basic School","Hupsekot-6, Nawalpur","N/A","N/A","Public","N/A","N/A"
"Bala Bikas Secondary School","Tandrang Taksar, Madhyanepal-2, Lamjung","N/A","N/A","Public","N/A","N/A"
"Baljyoti Secondary School","Bange, Madhyanepal-9, Lamjung","N/A","N/A","Public","N/A","N/A"
"Shree Jyamdi English Boarding School","Sandibesi, Mandandeupur-12, Kavrepalanchok","N/A","N/A","Private","N/A","N/A"
"Shree Tsarang Choedhe Shedrup Dharkellilng Gumba","Charang, Lo-Ghekar Damodarkunda-1, Mustang","N/A","N/A","Religious","N/A","N/A"
"Akala Basic School","Chhabise, Myagde-6, Tanahun","N/A","N/A","Public","N/A","N/A"
"Chitra Kumari Basic School","Tokelmaath, Godawari-8, Lalitpur","N/A","N/A","Public","N/A","N/A"
"Balichan Basic School, Chadekhan","Malikarjun-4, Darchula","N/A","N/A","Public","N/A","N/A"
"Kotedhunga Basic School","Bahuni, Swami Kartik-1, Bajura","N/A","N/A","Public","N/A","N/A"
"Basic School Rani Talau","Ranitalau, Nepalgunj-7, Banke","N/A","N/A","Public","N/A","N/A"
"Jyoti Punja Primary School","Salibang, Runtigadhi-7, Rolpa","N/A","N/A","Public","N/A","N/A"
"Shree Balhit Basic School","Pakhuredanda, Bethanchowk-2, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Shree Jankalyan Basic School, Rekcha","Chaukune-5, Surkhet","N/A","N/A","Public","N/A","N/A"
"Kohinoor Montessori","Mahalaxmi, Lalitpur","N/A","N/A","Private","N/A","N/A"
"Shivalaya Basic School","Hatuwagadhi-2, Bhojpur","N/A","N/A","Public","N/A","N/A"
"Gauri Shankar Basic School","Hemja, Pokhara-25, Kaski","N/A","N/A","Public","N/A","N/A"
"Primary School Bitijor Kubhinde","Golanjor-4, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Saraswati Basic School Chinali","Chinali, Bagchaur-11, Salyan","N/A","N/A","Public","N/A","N/A"
"Bal Dharam Adharbhut Vidyalayai Syabang","Syabang, Musikot-11, Western Rukum","N/A","N/A","Public","N/A","N/A"
"Pancha Swarup Primary School","Tilahar, Ratamata, Modi-6, Parbat","N/A","N/A","Public","N/A","N/A"
"Husnul Ulum Maktab","Dhobini, Parsa","N/A","N/A","Public","N/A","N/A"
"Janasewa Adharbhut Vidhalaya","Golkhada, Putha Uttarganga-12, Eastern Rukum","N/A","N/A","Public","N/A","N/A"
"Shree Upakar Basic School","Kusumdada, Musikot-11, Western Rukum","N/A","N/A","Public","N/A","N/A"
"Samsullajan Nurhak Madrassa","Kachankawal-5, Jhapa","N/A","N/A","Religious","N/A","N/A"
"Jana Jagriti Basic School","Mirul, Thawang-3, Rolpa","N/A","N/A","Public","N/A","N/A"
"Bal Kiran Pramary School, Saliakot","Dangbang, Airawati-1, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Future Care Montessory","Bhadrapur, Jhapa","N/A","N/A","Private","N/A","N/A"
"Shyamsundar Basic School","Ramaroshan-6, Achham","N/A","N/A","Public","N/A","N/A"
"Sikshya Jyoti Basic School","Pasalbhanjyang, Aamchowk-3, Bhojpur","N/A","N/A","Public","N/A","N/A"
"Kali Devi Basic School","Hunga, Umakunda-4, Ramechhap","N/A","N/A","Public","N/A","N/A"
"Janta Aadharbhut Vidyalaya Nunthala Dhappar","Dhappar, Udayapurgadhi-6, Udayapur","N/A","N/A","Public","N/A","N/A"
"Pashupati Basic School Majhuwa","Katari-2, Udayapur","N/A","N/A","Public","N/A","N/A"
"Saraswati Primary School, Chharikhola","Baglung","N/A","N/A","Public","N/A","N/A"
"Etik English Boarding School Hadiya","Chaudandigadhi-9, Udayapur","N/A","N/A","Private","N/A","N/A"
"Chundevi Aadharbhut Vidyalaya","Fisal Tole, Tokha, Kathmandu","N/A","N/A","Public","N/A","N/A"
"Madhav Sanskrit Vidhyashram","Mechinagar-12, Jhapa","N/A","N/A","Religious","N/A","N/A"
"Sirjanshil Basic","Majh Gaun, Sarkegad-1, Humla","N/A","N/A","Public","N/A","N/A"
"Maktab Talimul Islam","Yuddhagunj Rain Tole, Koshi-4, Sunsari","N/A","N/A","Religious","N/A","N/A"
"Saraswoti Basic School","Rishing-3, Tanahun","N/A","N/A","Public","N/A","N/A"
"Mahendra Janasahayog Basic School","Sthanchaursyangja, Phedikhola-2, Syangja","N/A","N/A","Public","N/A","N/A"
"Bewar Bhawani Primary School","Mainar, Shivaraj-3, Kapilvastu","N/A","N/A","Public","N/A","N/A"
"Bhume Basic School","Bongadovan, Tamankhola-1, Baglung","N/A","N/A","Public","N/A","N/A"
"Madarsa Sultaniya Budhiyachap","Arnama, Siraha","N/A","N/A","Religious","N/A","N/A"
"Jana Priya Secondary School","Kamere, Aandhikhola-4, Syangja","N/A","N/A","Public","N/A","N/A"
"Diyalo Basic School","Putalibazar-13, Syangja","N/A","N/A","Public","N/A","N/A"
"Mother Bhagawati Academy","Baglung","N/A","N/A","N/A","N/A","N/A"
"Bhumeswari Basic School","B.M, Bungal-3, Bajhang","N/A","N/A","Public","N/A","N/A"
"Mahendra Basic School","Khewang, Sirijangha-7, Taplejung","N/A","N/A","Public","N/A","N/A"
"Durgeshwori Basic School","Pokhrang, Panchkhapan-8, Sankhuwasabha","N/A","N/A","Public","N/A","N/A"
"Lokpriya Basic School","Chardada, Ruchang, Baudikali-4, Nawalpur","N/A","N/A","Public","N/A","N/A"
"Saraswati Sadan Secondary School","Thuloswara, Sundarbazar-11, Lamjung","N/A","N/A","Public","N/A","N/A"
"Jyoti Basic School","Beni-5, Myagdi","N/A","N/A","Public","N/A","N/A"
"Khodai Nath Basic School","Khodai, Lekam-6, Darchula","N/A","N/A","Public","N/A","N/A"
"Bhawani Basic School, Pokhariya","Jahada-6, Morang","N/A","N/A","Public","N/A","N/A"
"Panchakanya Basic School","Mainatar, Jantedhunga-1, Khotang","N/A","N/A","Public","N/A","N/A"
"Shaheed Hariprasad Basic School","Khoramukh, Machhapuchchhre-8, Kaski","N/A","N/A","Public","N/A","N/A"
"Janata Basic School","Ghasa, Thasang-4, Mustang","N/A","N/A","Public","N/A","N/A"
"Madrassa Mohammadiya Ahle Sunnat Nurul Olum","Harsuri, Mayadevi-2, Rupandehi","N/A","N/A","Religious","N/A","N/A"
"Singheshwori Basic School Lewaring","Lewaring, Chainpur-4, Sankhuwasabha","N/A","N/A","Public","N/A","N/A"
"Araniko Basic School","Mangala-4, Myagdi","N/A","N/A","Public","N/A","N/A"
"Basic School Hardiwang","Puthauttarganga 2 Hardiang, Putha Uttarganga-2, Eastern Rukum","N/A","N/A","Public","N/A","N/A"
"Bal Mandir Basic School","Mathillo Tole, Chainpur-6, Sankhuwasabha","N/A","N/A","Public","N/A","N/A"
"Nabin Basic School","Pipalbote, Namobuddha-7, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Sailyashikhar Basic School, Panebaj","Panebaj, Shailyashikhar-6, Darchula","N/A","N/A","Public","N/A","N/A"
"Rambir Basic School","Ghangaru, Kerabari-9, Morang","N/A","N/A","Public","N/A","N/A"
"Madrassa Jiyaululum Tholobutahaniya Madrassa","Thulo Butahaniya, Maharajgunj-6, Kapilvastu","N/A","N/A","Religious","N/A","N/A"
"Jaljaleshwar Gurukul Ved Bidhyashram Secondary School","Trivenidham, Harkapur, Manechaur, Molung-4, Okhaldhunga","N/A","N/A","Public","N/A","N/A"
"Bagh Bhairab Basic School","Hugdi, Thakre-10, Dhading","N/A","N/A","Public","N/A","N/A"
"Gawashi Basic School","Chaukigada, Godawari-4, Kailali","N/A","N/A","Public","N/A","N/A"
"Hira Bhawan Basic School","Chandrakot-7, Gulmi","N/A","N/A","Public","N/A","N/A"
"Gauri Shankar Basic School","Masta-2, Bajhang","N/A","N/A","Public","N/A","N/A"
"Saraswati Basic School","Pokhare-8, Bhojpur","N/A","N/A","Public","N/A","N/A"
"Manichood Basic School","Vhulbu, Shankharapur-8, Kathmandu","N/A","N/A","Public","N/A","N/A"
"Balbatika Montessory","Hetauda, Makwanpur","N/A","N/A","Private","N/A","N/A"
"Vijay Educational Academy","Mahottari","N/A","N/A","Private","N/A","N/A"
"Arati English Boarding School","Janakpurdham, Dhanusha","N/A","N/A","Private","N/A","N/A"
"Gyanodaya Basic School","Helambu-4, Sindhupalchok","N/A","N/A","Public","N/A","N/A"
"Athrai English Boarding School","Chuhandanda, Aathrai-2, Tehrathum","N/A","N/A","Private","N/A","N/A"
"Shree Basic School Chakamake","Tinpatan-11, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Himalaya Jyoti Basic School","Khesangkhoppa, Miklajung-4, Panchthar","N/A","N/A","Public","N/A","N/A"
"Janata Basic School","Armala, Pokhara-16, Kaski","N/A","N/A","Public","N/A","N/A"
"Krishna Basic School","Aahale, Suryodaya, Ilam","N/A","N/A","Public","N/A","N/A"
"Basic School, Abalchapra","Panchapuri-9, Surkhet","N/A","N/A","Public","N/A","N/A"
"Noor Academy (Madrasa)","Bhokraha Narsingh, Sunsari","N/A","N/A","Religious","N/A","N/A"
"Shila Sutkeri Basic School","Hatuwagadhi-4, Bhojpur","N/A","N/A","Public","N/A","N/A"
"Sharada Basic Level","Menchhayayem-1, Tehrathum","N/A","N/A","Public","N/A","N/A"
"Chandra Jyoti Basic School","Aaterni Danda, Pokhara-32, Kaski","N/A","N/A","Public","N/A","N/A"
"Aadarsha Academy","Dipayal Silgadi, Doti","N/A","N/A","Private","N/A","N/A"
"Vatsalya Kids Zone School","Chandragiri, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Janajyoti Basic School","Sallikot, Palata-5, Kalikot","N/A","N/A","Public","N/A","N/A"
"Lami Danda Basic School","Lamidanda, Bhimeshwor-8, Dolakha","N/A","N/A","Public","N/A","N/A"
"Gayatri Basic School","Dhorchaur, Tribeni-5, Salyan","N/A","N/A","Public","N/A","N/A"
"Sanjeewani School","Rumba Chowk, Sanobharyang, Nagarjun-2, Kathmandu","N/A","N/A","Private","N/A","01-4890010"
"Namaste Kids Montessori","Kawasoti, Nawalpur","N/A","N/A","Private","N/A","N/A"
"Saraswati Basic School","Ambung, Myanglung-8, Tehrathum","N/A","N/A","Public","N/A","N/A"
"Manasi Kids Palace","Hadigaun, Dhumbarahi, Kathmandu","N/A","N/A","Private","N/A","977-1-4502004"
"Sharswoti Basic School Chainpur","Chainpur, Dhakari-5, Achham","N/A","N/A","Public","N/A","N/A"
"Bhairab Basic School, Raniban","Seribada, Gurans-2, Dailekh","N/A","N/A","Public","N/A","N/A"
"Pokhara Darshaniyasthal Basic School","Ghumti, Pokhara-22, Kaski","N/A","N/A","Public","N/A","N/A"
"East Point English School","Bouddhadham, Suryodaya-3, Ilam","N/A","N/A","Private","N/A","N/A"
"Madarsa Faizane Raza","Bhangaha, Mahottari","N/A","N/A","Religious","N/A","N/A"
"Nepal Rastriya Basic School, Chhipchhipe","Chhipchhipe, Panchapuri-1, Surkhet","N/A","N/A","Public","N/A","N/A"
"Praganna Pragya Niketan","Amiliya, Lamahi-9, Dang","N/A","N/A","Private","N/A","N/A"
"Naya Vrindavan Gurukul","Sundarharaicha, Morang","N/A","N/A","Religious","N/A","N/A"
"Shree Rudra Beni Basic School","Rudrabeni, Rurukshetra-2, Gulmi","N/A","N/A","Public","N/A","N/A"
"Basic School Sargabas","Udayapurgadhi-2, Udayapur","N/A","N/A","Public","N/A","N/A"
"Bhagawati Basic School","Malika, Amredanda, Kumakh-6, Salyan","N/A","N/A","Public","N/A","N/A"
"Jana Chetana Basic School Khorbare","Triveni-6, Western Rukum","N/A","N/A","Public","N/A","N/A"
"Success Apostal School","Neelakantha, Dhading","N/A","N/A","Private","N/A","N/A"
"Deepjyoti Basic School","Basukidanda, Paribartan-4, Rolpa","N/A","N/A","Public","N/A","N/A"
"Shree Janajagaran Basic School","Gattina, Sanibheri-11, Western Rukum","N/A","N/A","Public","N/A","N/A"
"Birgunj Metropolitan School For The Deaf","Radhemai, Birgunj-13, Parsa","N/A","N/A","Public","N/A","N/A"
"Saraswati Basic School Farsachaur","Farsachaur, Aathbiskot-14, Western Rukum","N/A","N/A","Public","N/A","N/A"
"Hansraj English Boarding School","Birgunj, Parsa","N/A","N/A","Private","N/A","N/A"
"Sunbeam Montessori School","Kirtipur, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Janakalyan Basic School","Phurumbu, Phungling-10, Taplejung","N/A","N/A","Public","N/A","N/A"
"Janata Basic School","Pathivara Yangwarak-6, Taplejung","N/A","N/A","Public","N/A","N/A"
"Namunadevi Aadharbhut Vidyalay Mangsintar","Mansintar, Udayapurgadhi-2, Udayapur","N/A","N/A","Public","N/A","N/A"
"Jalapadevi Basic School","Change, Tirtire, Aathrai Tribeni-5, Taplejung","N/A","N/A","Public","N/A","N/A"
"Shree Basic School Bhaludhunga Hattisar","Hattisar, Tapli-3, Udayapur","N/A","N/A","Public","N/A","N/A"
"Nawa Prabhat Basic School","Role, Mangalsen-14, Achham","N/A","N/A","Public","N/A","N/A"
"Manhendra Rastriya Basic School","Sankharapur, Shankharapur-2, Kathmandu","N/A","N/A","Public","N/A","N/A"
"Shree Junodaya Basic School","Jaithum, Devghat-2, Tanahun","N/A","N/A","Public","N/A","N/A"
"Uma Kunda Basic School","Umakunda, Umakunda-1, Ramechhap","N/A","N/A","Public","N/A","N/A"
"Mopeter Tara","Duhagadi, Mechinagar, Jhapa","N/A","N/A","Private","N/A","N/A"
"Satya Laxmi Basic School","Budhinanda-3, Bajura","N/A","N/A","Public","N/A","N/A"
"Nuwadev Basic School","Kerabari, Jorayal-7, Doti","N/A","N/A","Public","N/A","N/A"
"Vigyan Prabha Basic School","Ikudol Gaun, Bagmati-5, Lalitpur","N/A","N/A","Public","N/A","N/A"
"Shanti Basic School","Malarani-4, Arghakhanchi","N/A","N/A","Public","N/A","N/A"
"Shree L. S. English Boarding School","Bhangahiya, Ekdara-4, Mahottari","N/A","N/A","Public","N/A","N/A"
"Pachakanya Basic School","Jhapsi, Hariharpurgadhi-6, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Olang Primary School","Olang, Ajirkot-2, Gorkha","N/A","N/A","Public","N/A","N/A"
"Gaiya Laxmi Primary School","Khalekha, Sangurigadhi-10, Dhankuta","N/A","N/A","Public","N/A","N/A"
"Panorama Academy","Halesi Tuwachung, Khotang","N/A","N/A","Private","N/A","N/A"
"Lotus Pre School","Kankai, Jhapa","N/A","N/A","Private","N/A","N/A"
"Saptakanya Adharbhut Vidyalaya","Gahateshwara, Bagmati-9, Makwanpur","N/A","N/A","Public","N/A","N/A"
"Balbatika Montessori School","Lamkichuha, Kailali","N/A","N/A","Private","N/A","N/A"
"Chitrakut Dham Gurukul Viddyalaya","Narainapur, Banke","N/A","N/A","Religious","N/A","N/A"
"Sapta Kanya Basic School","Dovan Kharka, Gajuri-8, Dhading","N/A","N/A","Public","N/A","N/A"
"City Montessori School","Birgunj, Parsa","N/A","N/A","Private","N/A","N/A"
"Peeyoush Choodamani Bal Sanskriti Academy","Gaighat, Triyuga-11, Udayapur","N/A","N/A","Private","N/A","N/A"
"New Dawn English Boarding School","Musikot, Gulmi","N/A","N/A","Private","N/A","N/A"
"Narmadeshwor Basic School","Gaikhura, Manthali-8, Ramechhap","N/A","N/A","Public","N/A","N/A"
"Dharmawati Adharbhut Vidyalaya","Hadesyala, Shitaganga-7, Arghakhanchi","N/A","N/A","Public","N/A","N/A"
"Kageshwori Basic School Bhirmod","Bhirmod, Dhakari-4, Achham","N/A","N/A","Public","N/A","N/A"
"Adarsha Basic School","Soktim, Mai-9, Ilam","N/A","N/A","Public","N/A","N/A"
"Shree Bal Kalyan Basic School","Sikaicha, Sirijangha-3, Taplejung","N/A","N/A","Public","N/A","N/A"
"Shree Radha Krishna Basic School","Suwakhan, Parashuram-11, Dadeldhura","N/A","N/A","Public","N/A","N/A"
"Basic School Mahadev","Tatopani-6, Jumla","N/A","N/A","Public","N/A","N/A"
"Butakhuwa Basic School, Bipatpur","Bipatpur, Kailari-7, Kailali","N/A","N/A","Public","N/A","N/A"
"Budanilkantha Basic School","Suryodaya-9, Ilam","N/A","N/A","Public","N/A","N/A"
"Maha Laxmi Basic School","Devisthan Danda, Dhunibeshi-1, Dhading","N/A","N/A","Public","N/A","N/A"
"Janajagriti Aadharbhut Biddyalaya","Tallo Palsa, Mohanyal-5, Kailali","N/A","N/A","Public","N/A","N/A"
"Himalayan English Boarding School","Kanakasundari, Jumla","N/A","N/A","Private","N/A","N/A"
"Basic School Karmakote","Karmakote, Ghorahi-1, Dang","N/A","N/A","Public","N/A","N/A"
"Rakta Kali Basic School","Khadkathok, Melamchi-5, Sindhupalchok","N/A","N/A","Public","N/A","N/A"
"Madarsa Darul Olum Faijane Raja Harine","Harine, Kamala-8, Dhanusha","N/A","N/A","Religious","N/A","N/A"
"Tedi Basic School","Kanda, Aadarsh-6, Doti","N/A","N/A","Public","N/A","N/A"
"Jansewa Basic School","Teduwa, Belauri-2, Kanchanpur","N/A","N/A","Public","N/A","N/A"
"Naya Nepal Basic School","Katahari-7, Morang","N/A","N/A","Public","N/A","N/A"
"Panidhara Basic School","Dallekh, Naugad-2, Darchula","N/A","N/A","Public","N/A","N/A"
"Jalpa Basic School Yogidanda","Yogidanda, Khandbari-6, Sankhuwasabha","N/A","N/A","Public","N/A","N/A"
"Shanti Srijana Basic School","Turmakhad-1, Achham","N/A","N/A","Public","N/A","N/A"
"Rastriya Basic School Pahare Baseni","Paharebaseni, Hupsekot-5, Nawalpur","N/A","N/A","Public","N/A","N/A"
"Narchyang Basic School","Gadhpar, Annapurna-4, Myagdi","N/A","N/A","Public","N/A","N/A"
"Balkalyan Basic School","Miklajung-1, Morang","N/A","N/A","Public","N/A","N/A"
"Shree Laxmi Basic School","Kanepokhari-3, Morang","N/A","N/A","Public","N/A","N/A"
"Omkareshwor Basic School","Ratuwamai-6, Morang","N/A","N/A","Public","N/A","N/A"
"Nuwadev Basic School","Bhalane, Durgathali-3, Bajhang","N/A","N/A","Public","N/A","N/A"
"Anwarul Islam Madrassa","Biratnagar-19, Morang","N/A","N/A","Religious","N/A","N/A"
"Kalika Basic School, Dandabada","Sarki, Khaptadchhanna-7, Bajhang","N/A","N/A","Public","N/A","N/A"
"Mridanga Jharna Basic School","Sumlibung, Hilihang-9, Panchthar","N/A","N/A","Public","N/A","N/A"
"Shree Muktinath Peeth Ved Vidyashram","Gajendra Moksha (Triveni) Dham, Binayi Tribeni-6, Nawalpur","N/A","N/A","Religious","N/A","N/A"
"Panchawati Basic School","Hattigaunde, Aamchowk-2, Bhojpur","N/A","N/A","Public","N/A","N/A"
"Bhagawati Basic School","Khungkhani, Tamankhola-5, Baglung","N/A","N/A","Public","N/A","N/A"
"Jana Jagriti Basic School","JayaPrithivi-1, Bajhang","N/A","N/A","Public","N/A","N/A"
"Deepjyoti Basic School","Koireli, Dhakari-3, Achham","N/A","N/A","Public","N/A","N/A"
"Malika Peace Zone English Boarding School","Budhiganga-6, Bajura","N/A","N/A","Private","N/A","N/A"
"Janachetana Basic School","Pancheshwar-3, Baitadi","N/A","N/A","Public","N/A","N/A"
"Bhawani Basic School","Bhuka, Modi-1, Parbat","N/A","N/A","Public","N/A","N/A"
"Palu Siddha Basic School, Dangbang","Dangbang, Airawati-1, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Sidda Bhumi Basic School","Dhandchhap-5, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Jana Kalyan Basic School","Patauti, Panini-4, Arghakhanchi","N/A","N/A","Public","N/A","N/A"
"Birendra Basic School","Bhimeshwor-7, Dolakha","N/A","N/A","Public","N/A","N/A"
"Bageswori Primary School","Runtigadhi-6, Rolpa","N/A","N/A","Public","N/A","N/A"
"Triveni Primary School, Dovantar","Dovantar, Kamalamai-10, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Jalpa Devi Awashiya Bidhalya","Khadak, Saptari","N/A","N/A","Private","N/A","N/A"
"Janata Secondary School","Kundule, Rainas-9, Lamjung","N/A","N/A","Public","N/A","N/A"
"Sai Ratna Academy","Kristinacne Chour, Pokhara-21, Kaski","N/A","N/A","Private","N/A","N/A"
"Sarbajanik Basic School","Kummayak-3, Panchthar","N/A","N/A","Public","N/A","N/A"
"Bramheshwar Basic School","Kewalchuli, Hariharpurgadhi-8, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Kalika Basic School","Chuwanchhap, Siddhicharan-2, Okhaldhunga","N/A","N/A","Public","N/A","N/A"
"Janabhawana Basic School","Chyuribas, Bakaiya-9, Makwanpur","N/A","N/A","Public","N/A","N/A"
"Moral Academy","Lazimpat, Sujan Marg-2, Kathmandu","N/A","N/A","Private","2000 AD","N/A"
"Aranya Jyoti Basic School","Lamagaun, Marsyangdi-9, Lamjung","N/A","N/A","Public","N/A","N/A"
"Bhumiraj Swami Basic School","Besara, Sigas-1, Baitadi","N/A","N/A","Public","N/A","N/A"
"Ram Basic School Khairbona","Khairbona, Sakhuwanankarkatti-4, Siraha","N/A","N/A","Public","N/A","N/A"
"Pangarpani Basic School","Pamsa, Adanchuli-4, Humla","N/A","N/A","Public","N/A","N/A"
"Janata Basic School","Madhukot, Naram, Baudikali-6, Nawalpur","N/A","N/A","Public","N/A","N/A"
"Shree Baudha Nera Basic School Gahakhal","Barahatal, Barahatal-7, Surkhet","N/A","N/A","Public","N/A","N/A"
"Bauddha Dharma Basic School","Jwalamukhi-2, Dhading","N/A","N/A","Public","N/A","N/A"
"Pancha Kanya Basic School","Benighat Rorang-2, Dhading","N/A","N/A","Public","N/A","N/A"
"Shree Jana Sudhar Basic School","Khoriya, Solududhkunda-6, Solukhumbu","N/A","N/A","Public","N/A","N/A"
"Kalika Basic School","Sutuda, Mangalsen-8, Achham","N/A","N/A","Public","N/A","N/A"
"Setidevi Basic School","Kalinjor, Ishworpur-12, Sarlahi","N/A","N/A","Public","N/A","N/A"
"Ghormu Basic School","Ghormu, Naukunda-9, Rasuwa","N/A","N/A","Public","N/A","N/A"
"Seti Devi Basic School","Majhgaon, Chautara Sangachokgadhi-3, Sindhupalchok","N/A","N/A","Public","N/A","N/A"
"Thoklimba Aadharbhut Vidyalaya","Thoklimba, Phalelung-3, Panchthar","N/A","N/A","Public","N/A","N/A"
"Saraswati Adharbhut Vidyalaya","Mathillo Bhawanipur, Bagmati-8, Makwanpur","N/A","N/A","Public","N/A","N/A"
"Upallachaur Basic School","Baglung Bazar-4, Baglung","N/A","N/A","Public","N/A","N/A"
"Kali Devi Basic School","Anthali, Bhotekoshi-5, Sindhupalchok","N/A","N/A","Public","N/A","N/A"
"Samji Basic School Talagau","Talagaun, Chaukune-1, Surkhet","N/A","N/A","Public","N/A","N/A"
"Janajagriti Basic School","Dhoigaun, Doramba Shailung-2, Ramechhap","N/A","N/A","Public","N/A","N/A"
"Dms English Boarding School","Aadarsha, Aadarsh-5, Doti","N/A","N/A","Private","N/A","N/A"
"Kids Care Pre School","Hiledole, Tarakeshwor-11, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Bhumeshwor Primary School","Gharmi, Pokhara-19, Kaski","N/A","N/A","Public","N/A","N/A"
"Nikosaptamai Basic School","Babare, Kalinchowk, Dolakha","N/A","N/A","Public","N/A","N/A"
"Laxmi Basic School, Nad","Nad, Simta-4, Surkhet","N/A","N/A","Public","N/A","N/A"
"Basic School Sangamnagar","Khaskarkando, Nepalgunj-18, Banke","N/A","N/A","Public","N/A","N/A"
"Shanti Aadharbhut Bidhyalaya","Shantinagar, Itahari-2, Sunsari","N/A","N/A","Public","N/A","N/A"
"Pancha Kanya Basic School","Hile, Temkemaiyung-9, Bhojpur","N/A","N/A","Public","N/A","N/A"
"Basic School Mohanpur","Mohanpur, Hariwan-5, Sarlahi","N/A","N/A","Public","N/A","N/A"
"Madarasa Serajul Uloom","Phinam-4, Gorkha","N/A","N/A","Religious","N/A","N/A"
"Sabitri Kanya Basic School","Chipring, Khotehang-5, Khotang","N/A","N/A","Public","N/A","N/A"
"Chandannath Gurukul Pathasala","Chandannath-6, Jumla","N/A","N/A","Public","N/A","N/A"
"Kanchan Pre Primary School","Sainamaina, Rupandehi","N/A","N/A","Public","N/A","N/A"
"Durga Basic School","Mareng-9, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Shree Shanti Adharbhut Bidhayalaya","Belaka-2, Udayapur","N/A","N/A","Public","N/A","N/A"
"Arjundhara Sanskrit Adarsha Secondary School","Arjundhara-7, Jhapa","N/A","N/A","Public","N/A","N/A"
"Masani Janajati Basic School","Jeude, Patan-4, Baitadi","N/A","N/A","Public","N/A","N/A"
